,displayName,grossProfitUSD,grossProfitMargin,revenueUSD,year,incomeTaxExpense
2485,Gilbertson & Page,6267885.706,0.217670386,28795307.49,2014,-219186.2723
2486,Gilbertson & Page,8001260.72,0.254602393,31426494.57,2015,-536775.6395
2487,Gilbertson & Page,8823782.323,0.2779256,31748720.92,2016,-525693.9855
2488,Gilbertson & Page,7065538.059,0.218290693,32367564.34,2017,-202176.9611
2489,Gilbertson & Page,7780646.727,0.223136767,34869406.9,2018,-265711.7778
2490,Helen of Troy,599559000,0.414882111,1445131000,2013,20886000
2492,Helen of Troy,516703000,0.39228776,1317153000,2014,16050000
2496,Helen of Troy,636005000,0.41146703,1545701000,2015,18590000
2500,Helen of Troy,0,,0,2016,9200000
2502,Helen of Troy,0,,0,2017,26556000
2505,Helen of Troy,0,,0,2018,13776000
2511,Studio,62011167.16,0.430833016,143933182.6,1995,-1483783.025
2512,Studio,58151587.13,0.418747981,138870131.2,1996,1740423.918
2513,Studio,60970899.46,0.433665332,140594359.3,1997,320178.2011
2514,Studio,60876216.41,0.449377857,135467770.6,1998,-1503716.298
2515,Studio,67570058.72,0.442967984,152539373.3,1999,-2750791.704
2516,Studio,78353959.54,0.41589298,188399331.8,2000,-2154039.337
2517,Studio,97017742.38,0.44113501,219927550.9,2001,-1980869.026
2518,Studio,124024826,0.504229261,245969116.5,2002,-3772371.957
2519,Studio,149683931.9,0.523078531,286159578.7,2003,-6772329.576
2520,Studio,172733014.9,0.573315897,301287677.3,2004,-8197558.611
2521,Studio,163343197.4,0.579810624,281718186.3,2005,-1744161.407
2522,Studio,170744680.9,0.581343955,293706814.2,2006,2043160.505
2523,Studio,172883780.3,0.554824795,311600674.4,2007,-6029815.149
2524,Studio,161833261.9,0.567943337,284946140.7,2008,5543941.614
2525,Studio,162796288.2,0.590169635,275846601.4,2009,191857.7547
2526,Studio,151347104.4,0.567388557,266743314.8,2010,761201.8711
2527,Studio,157632324.6,0.545722739,288850570.6,2011,2835508.115
2528,Studio,170155413.5,0.519357074,327627026.1,2012,-2744562.556
2529,Studio,189447104.4,0.527611482,359065545.4,2013,-7504877.367
2530,Studio,191943707,0.510750772,375806983.3,2014,-5596266.456
2531,Studio,196159594.3,0.503080089,389917229.2,2015,-185628.6069
2532,Studio,230925734.4,0.51018113,452634801.6,2016,4609569.432
2533,Studio,200630866.7,0.40958741,489836508.6,2017,-6464609.671
2534,Poundland,514185001.9,0.371313839,1384771985,2014,11516448.6
2535,Poundland,564008298,0.372662438,1513456254,2015,10587059.74
2536,Poundland,988813778.5,0.353414216,2797889085,2016,-25093499.32
2537,Poundland,686161788.3,0.361720119,1896941175,2017,-1169833.972
2538,Sequential Brands Group,0,,88262000,2015,-1357000
2542,Sequential Brands Group,0,,155528000,2016,9157000
2546,Sequential Brands Group,0,,167464000,2017,-132535000
2552,Regal Entertainment Group,0,,2807900000,2010,48700000
2553,Regal Entertainment Group,0,,2681700000,2011,15400000
2554,Regal Entertainment Group,0,,2820000000,2012,89500000
2556,Regal Entertainment Group,0,,3038100000,2013,107000000
2557,Regal Entertainment Group,0,,2990100000,2013,0
2564,Regal Entertainment Group,0,,0,2015,0
2567,Regal Entertainment Group,0,,3197100000,2016,111200000
2570,Regal Entertainment Group,0,,3163000000,2017,0
2572,Schweitzer-Mauduit International,0,,772800000,2013,0
2576,Schweitzer-Mauduit International,0,,794300000,2014,0
2580,Schweitzer-Mauduit International,0,,0,2015,0
2584,Schweitzer-Mauduit International,256700000,0.305631623,839900000,2016,15400000
2590,Schweitzer-Mauduit International,0,,0,2018,0
2594,Sugru,22978.0807,0.112925445,203480.0989,2009,75984.39168
2595,Sugru,431108.1124,0.599331807,719314.589,2011,75793.77976
2596,Sugru,909281.1745,0.767511828,1184712.915,2012,98877.75597
2597,Sugru,1214320.055,0.548237409,2214952.929,2013,213136.5239
2598,Sugru,1378757.1,0.479853447,2873287.897,2014,-286437.3987
2599,Sugru,1866332.438,0.424399973,4397579.071,2015,222454.0833
2600,Sugru,1894942.914,0.337843454,5608937.789,2016,313531.7003
2601,Sugru,2690589.482,0.397829332,6763175.22,2017,246496.1025
2602,Flipkart,0,,398827550.3,2013,0
2603,Flipkart,0,,1338319209,2014,0
2604,Flipkart,0,,1849492548,2015,0
2605,Flipkart,0,,2185125592,2016,0
2606,Flipkart,0,,3040357910,2017,0
2608,Escalade,50328000,0.307483642,163677000,2013,6883000
2612,Escalade,41063000,0.297611886,137975000,2014,-6099000
2614,Escalade,43474000,0.279500071,155542000,2015,0
2616,Escalade,44267000,0.26404414,167650000,2016,0
2619,Escalade,44727000,0.252220399,177333000,2017,1456000
2622,Escalade,45030000,0.256172488,175780000,2018,6000000
2624,Johnson Outdoors,0,,0,2010,2653000
2625,Johnson Outdoors,0,,0,2011,-20394000
2626,Johnson Outdoors,0,,0,2012,9792000
2628,Johnson Outdoors,171049000,0.401089431,426461000,2013,5333000
2631,Johnson Outdoors,168613000,0.396354105,425410000,2014,8299000
2635,Johnson Outdoors,171733000,0.398925408,430489000,2015,5137000
2639,Johnson Outdoors,176462000,0.406850392,433727000,2016,10154000
2642,Johnson Outdoors,210940000,0.429993987,490565000,2016,13053000
2646,Johnson Outdoors,241860000,0.444376667,544268000,2017,27437000
2650,Motocaddy,1888592.921,0.342811424,5509130.644,2007,-52253.82991
2651,Motocaddy,0,,7448502.333,2008,-133442.0517
2652,Motocaddy,4653440.075,0.317765178,14644273.19,2010,-554673.2272
2653,Motocaddy,6078245.528,0.346430702,17545343.08,2011,-738993.713
2654,Motocaddy,0,,19498467.48,2012,-443514.0833
2655,Motocaddy,0,,24584077.12,2013,-755416.2385
2656,Motocaddy,10612315.2,0.391891753,27079710.47,2014,-896753.1123
2657,Motocaddy,10627813.32,0.369043495,28798267.58,2015,-778380.6151
2658,Motocaddy,9343136.282,0.334201659,27956582.63,2016,-468891.6318
2659,Motocaddy,8208235.371,0.315674832,26002184.99,2017,-222155.0842
2660,The Natural Wood Floor,425398.4754,0.276721721,1537278.947,1995,-23101.41783
2661,The Natural Wood Floor,706032.7999,0.239811897,2944110.817,1996,-35827.56695
2662,The Natural Wood Floor,919287.6776,0.233072599,3944211.722,1997,-45763.05782
2663,The Natural Wood Floor,1110457.734,0.23048032,4818015.407,1998,-48181.21303
2664,The Natural Wood Floor,1455036.754,0.217847464,6679153.982,1999,-49460.68
2665,The Natural Wood Floor,1764488.362,0.215323312,8194599.766,2000,-90949.29655
2666,The Natural Wood Floor,2114399.532,0.229488287,9213540.106,2001,-72844.90115
2667,The Natural Wood Floor,2142152.877,0.222816572,9613974.648,2002,-123282.3115
2668,The Natural Wood Floor,2300552.633,0.252336562,9117000.772,2003,-111522.9262
2669,The Natural Wood Floor,2634863.525,0.302048857,8723302.43,2004,-241045.5981
2670,The Natural Wood Floor,2446071.757,0.265134151,9225789.102,2005,-124199.2421
2671,The Natural Wood Floor,0,,0,2006,-182578.8161
2672,The Natural Wood Floor,2629060.451,0.229723575,11444452.11,2007,-133303.7647
2673,The Natural Wood Floor,2097382.746,0.250628946,8368477.708,2008,-177855.8761
2674,The Natural Wood Floor,0,,8962942.732,2009,-179938.9032
2675,The Natural Wood Floor,0,,9368182.439,2010,-125892.3245
2676,The Natural Wood Floor,2092167.703,0.208605751,10029290.62,2011,-199332.7322
2677,The Natural Wood Floor,2628508.548,0.186458584,14097010.15,2013,-176688.5338
2678,The Natural Wood Floor,2367866.051,0.170974214,13849258.25,2014,-128756.4867
2679,The Natural Wood Floor,2568890.619,0.187582397,13694731.78,2015,-190986.9199
2680,The Natural Wood Floor,2517617.257,0.175152608,14373849.68,2016,-207161.5252
2681,The Natural Wood Floor,2229378.389,0.153903241,14485584.4,2017,-194470.2594
2682,The Natural Wood Floor,2774167.205,0.168875119,16427329.39,2018,-117030.7387
2684,Nova Lifestyle,15365757,0.196100622,78356493,2013,599342
2688,Nova Lifestyle,0,,0,2014,0
2692,Nova Lifestyle,18389552,0.168990379,108820112,2015,551586
2696,Nova Lifestyle,13523744,0.14596878,92648195,2016,-836620
2700,Nova Lifestyle,20421237,0.19175927,106494132,2017,2759813
2704,Nova Lifestyle,15952199,0.179955579,88645204,2018,-659918
2707,MyOptique Group,3176907.778,0.46755316,6794752.017,2009,0
2708,MyOptique Group,6874523.731,0.440547374,15604505.05,2011,57685.64687
2709,MyOptique Group,8817127.101,0.43754546,20151339.49,2012,-153357.8833
2710,MyOptique Group,15058263.6,0.443048945,33987810.55,2013,-35461.29306
2711,MyOptique Group,16355048.85,0.433047286,37767351.01,2014,-31469.65509
2712,MyOptique Group,12104917.45,0.497061783,24352943.34,2015,0
2713,MyOptique Group,13967924.77,0.44715342,31237432.46,2017,1064296.011
2714,House of Fraser,573330771,0.586316728,977851634.4,2014,-498331.8305
2715,House of Fraser,603106097.8,0.585652069,1029802728,2015,-2242493.237
2716,House of Fraser,601860268.3,0.577663518,1041887275,2016,-5979981.966
2717,Myntra,0,,59964564.78,2013,0
2718,Myntra,0,,106447634.9,2014,0
2719,Myntra,0,,150122060.3,2015,0
2720,Myntra,0,,280864472,2016,0
2721,Myntra,0,,59964564.78,2017,0
2722,Oil-Dri Corporation Of America,66499000,0.265377141,250583000,2012,-2913000
2726,Oil-Dri Corporation Of America,59650000,0.22398456,266313000,2013,-2981000
2730,Oil-Dri Corporation Of America,60157000,0.230132134,261402000,2014,-2801000
2734,Oil-Dri Corporation Of America,77149000,0.294110471,262313000,2015,-744000
2738,Oil-Dri Corporation Of America,73712000,0.281014231,262307000,2016,-3753000
2742,Oil-Dri Corporation Of America,72002000,0.270684211,266000000,2017,-6644000
2749,Church & Dwight,0,,0,2016,0
2764,Momentive,500000000,0.214500215,2331000000,2017,15000000
2769,The Hut Group,78758854.15,0.34299821,229618849.2,2013,-1970902.39
2770,The Hut Group,112018776.3,0.362595606,308935835,2014,2715908.476
2771,The Hut Group,157431756,0.37886271,415537744.3,2015,2221314.134
2772,The Hut Group,263161564.7,0.421308559,624629049.6,2016,4223362.263
2773,The Hut Group,396749378.5,0.43289762,916497019.4,2017,-979222.0469
2774,The Hut Group,520107695.6,0.455883542,1140878421,2018,-1169833.972
2775,Henkel,8387016400,0.465521472,18016390000,2014,701865500
2776,Henkel,9498948200,0.478454515,19853398600,2015,589124900
2777,Henkel,10333449700,0.466773179,22138053700,2017,511753900
2778,Funko,198705000,0.385024531,516084000,2017,1540000
2782,Funko,258011000,0.37606931,686073000,2018,4867000
2785,Howden Joinery,1046372221,0.642469203,1628672965,2016,64035640.22
2786,Howden Joinery,1106795075,0.6328537,1748895639,2017,58803156
2787,Howden Joinery,1161362251,0.616819927,1882822199,2018,59924402.61
2788,Euro Garages,1139934.062,0.052847407,21570293.28,2001,-98420.53652
2789,Euro Garages,0,,0,2002,-226740.9829
2790,Euro Garages,0,,0,2003,-409929.0096
2791,Euro Garages,6059715.059,0.06165547,98283495.27,2004,-660289.6754
2792,Euro Garages,9934155.341,0.068355446,145330853.9,2005,-1024800.722
2793,Euro Garages,13997563.05,0.070498192,198552085.4,2006,-1821656.99
2794,Euro Garages,19436396.52,0.067378476,288465958.1,2007,-2245155.575
2795,Euro Garages,21273785.84,0.070492949,301786009.1,2008,-2428121.844
2796,Euro Garages,25731364.07,0.072413261,355340495,2009,-2171480.951
2797,Euro Garages,34011147.43,0.089473285,380126284.4,2010,-2859178.877
2798,Euro Garages,37438434.56,0.095754161,390984935,2011,-1998310.64
2799,Euro Garages,54490113.94,0.099742116,546309983.3,2012,-2698466.862
2800,Euro Garages,86853018.87,0.107861536,805226976.7,2013,-4790214.72
2801,Euro Garages,128842458.9,0.126795695,1016142216,2014,-7542252.254
2802,Euro Garages,350316273.7,0.122556273,2858411606,2016,5759470.131
2803,Euro Garages,321126307.3,0.133282705,2409362162,2017,-9267726.217
2806,Watsco,0,,3743330000,2013,0
2807,Watsco,0,,3944540000,2014,0
2808,Watsco,1007357000,0.244906022,4113239000,2015,104677000
2809,Watsco,1034584000,0.245121309,4220702000,2016,105936000
2811,Watsco,1065659000,0.24543299,4341955000,2017,90221000
2815,Watsco,1120252000,0.246390477,4546653000,2018,72813000
2818,Pz Cussons,142512936.9,0.316839369,449795546.1,1995,-11798006.09
2819,Pz Cussons,149168158.5,0.341757338,436473900.4,1996,-11916359.9
2820,Pz Cussons,162765122.5,0.367044411,443448034.4,1997,-13170910.28
2821,Pz Cussons,154993637.6,0.348197681,445131160.1,1998,-9272709.536
2822,Pz Cussons,192552907.7,0.377824037,509636468.1,1999,-17320768.6
2823,Pz Cussons,196785020.7,0.388992326,505884069.3,2000,-16898432.37
2824,Pz Cussons,221973183.1,0.404277074,549062010.8,2001,-20288334.65
2825,Pz Cussons,272697164.2,0.469839762,580404611.2,2002,-20978524.23
2826,Pz Cussons,271740347.2,0.446468603,608643800.3,2003,-22696523.22
2827,Pz Cussons,236145780.2,0.394796733,598145224.4,2004,-23152496.84
2828,Pz Cussons,261624250.9,0.388960955,672623428.1,2005,-23172430.12
2829,Pz Cussons,264115910,0.36684551,719964951.9,2006,-23047847.16
2830,Pz Cussons,416480867.2,0.37851,1100316682,2012,-29650743.91
2831,Pz Cussons,419844567.2,0.39122359,1073157597,2013,-31145739.4
2832,Pz Cussons,405891315.8,0.397753656,1020459046,2014,-32516151.94
2833,Pz Cussons,387577581.2,0.37883585,1023075248,2015,-17441614.07
2834,Pz Cussons,388449661.9,0.385318833,1008125293,2016,-26660752.93
2835,Pz Cussons,355186012.2,0.373852609,950069634.8,2017,-22175766.46
2836,The Licensing Company,1264894.506,0.277513391,4557958.45,1998,0
2837,The Licensing Company,1978150.626,0.27126501,7292317.662,1999,-121070.964
2838,The Licensing Company,1438213.071,0.273213731,5264058.525,2000,0
2839,The Licensing Company,1204379.58,0.271641755,4433705.637,2001,-116796.5228
2840,The Licensing Company,2091080.094,0.284770629,7343032.893,2002,0
2841,The Licensing Company,2404573.173,0.294868585,8154728.236,2003,46165.46078
2842,The Licensing Company,3327218.362,0.294508798,11297517.73,2004,-64699.66738
2843,The Licensing Company,3929265.504,0.32193736,12205062.21,2005,-411871.2579
2844,The Licensing Company,3452688.35,0.302742315,11404710.15,2006,-239738.7228
2845,The Licensing Company,4479116.125,0.280181247,15986495.09,2007,-64571.34693
2846,The Licensing Company,7991225.563,0.314837013,25382103.22,2008,-153289.3627
2847,The Licensing Company,8149901.893,0.331775066,24564540.02,2009,-219930.0326
2848,The Licensing Company,8377027.837,0.273380151,30642414.29,2010,-267008.6864
2849,The Licensing Company,10953204.07,0.234238608,46760882.6,2011,-667809.5027
2850,The Licensing Company,13355016.48,0.25399077,52580715.66,2012,-987136.8022
2851,The Licensing Company,18308387.54,0.298300994,61375549.89,2013,-1372448.219
2852,The Licensing Company,2178144.894,0.235859644,9234919.787,2014,0
2853,The Licensing Company,2005968.755,0.222981938,8996104.224,2015,0
2854,The Licensing Company,1432656.671,0.197174347,7265938.467,2016,447.2528179
2855,The Licensing Company,1599935.454,0.232986034,6867087.374,2017,-26579.77401
2858,BNSF Railway,0,,21401000000,2015,2928000000
2862,BNSF Railway,0,,19278000000,2016,2519000000
2866,BNSF Railway,0,,20747000000,2017,-4536000000
2871,Cyanotech,11564000,0.400069192,28905000,2013,-242000
2875,Cyanotech,14466000,0.427874235,33809000,2014,-253000
2879,Cyanotech,11866000,0.372675879,31840000,2015,-3328000
2883,Cyanotech,12224000,0.381499282,32042000,2016,-5000
2887,Cyanotech,13371000,0.39193903,34115000,2017,110000
2891,Cyanotech,10466000,0.346533342,30202000,2018,-17000
2895,Synutra International,153507000,0.414285869,370534000,2013,130000
2899,Synutra International,189554000,0.457925163,413941000,2014,-4449000
2903,Synutra International,176824000,0.484397558,365039000,2015,5454000
2907,YETI,218701000,0.46636713,468946000,2015,41139000
2908,YETI,413961000,0.505499967,818914000,2016,16497000
2910,YETI,294601000,0.460862056,639239000,2017,16658000
2912,YETI,383128000,0.49192574,778833000,2018,-11852000
2915,Crown Imperial,2622471.258,0.200247336,13096160.5,1995,-58553.99008
2916,Crown Imperial,3645297.34,0.207960199,17528822.14,1996,-327653.1785
2917,Crown Imperial,4407745.041,0.211249104,20865153.74,1997,-355061.4292
2918,Crown Imperial,4136154.193,0.219301143,18860613.95,1998,-310211.5645
2919,Crown Imperial,4091304.328,0.20042722,20412917.61,1999,-323915.6898
2920,Crown Imperial,4695531.673,0.217208391,21617634.81,2000,-382469.6799
2921,Crown Imperial,5865365.645,0.218306594,26867560.64,2001,-541935.8656
2922,Crown Imperial,6660204.914,0.231218373,28804825.63,2002,-597998.1966
2923,Crown Imperial,5185142.696,0.173322783,29916105.61,2003,-468431.9206
2924,Crown Imperial,6065944.206,0.215461545,28153256.76,2004,-523248.422
