index,displayName,displayName_parent,id
175,Amazon,Office Depot,11981
176,Staples,Office Depot,26032
177,ELEMENTS,Office Depot,270527
178,Altria,British American Tobacco,230419
179,Philip Morris,British American Tobacco,120983
180,Scandinavian Tobacco,British American Tobacco,1357582
181,Japan Tobacco,British American Tobacco,169127
182,Fanatics,Big 5 Sporting Goods,833
183,Foot Locker,Big 5 Sporting Goods,1960
184,Sports Direct,Big 5 Sporting Goods,1978
185,Hibbett Sports,Big 5 Sporting Goods,203684
186,Tractor Supply,TravelCenters of America,13160
187,AutoNation,TravelCenters of America,85226
188,Monro,TravelCenters of America,13102
189,CleanseCar,TravelCenters of America,1377955
190,Burlington Stores,Big Lots,1957
191,Target,Big Lots,11811
192,Walmart,Big Lots,11960
193,Costco,Big Lots,85925
194,Walmart,Five Below,11960
195,Amazon,Five Below,11981
196,Best Buy,Five Below,14913
197,Safeway,Five Below,20962
198,Foot Locker,DICK’S Sporting Goods,1960
199,Nike,DICK’S Sporting Goods,1973
200,Under Armour,DICK’S Sporting Goods,1984
201,Genesco,DICK’S Sporting Goods,160810
202,Academy Sports + Outdoors,DICK’S Sporting Goods,250663
203,Bass Pro Shops,DICK’S Sporting Goods,254525
204,Michelin,The Goodyear Tire & Rubber Company,119428
205,Pirelli,The Goodyear Tire & Rubber Company,125815
206,Bridgestone,The Goodyear Tire & Rubber Company,38395
207,Bremsen Technik (UK),The Goodyear Tire & Rubber Company,250931
208,The Home Depot,Sears Hometown and Outlet Stores,11091
209,L&M Fleet Supply,Sears Hometown and Outlet Stores,897841
210,Bob's Discount Furniture,Sears Hometown and Outlet Stores,507305
211,Fanatics,Sears Hometown and Outlet Stores,833
212,Target,Dollar Tree,11811
213,Walmart,Dollar Tree,11960
214,JD.com,Dollar Tree,63573
215,Dollar General,Dollar Tree,89032
216,SuperValu,Dollar Tree,119247
217,Matches Fashion,Boohoo,1577
218,Net-a-porter,Boohoo,37049
219,Trendyol,Boohoo,62419
220,ASOS,Boohoo,98474
221,H&M,Boohoo,125093
222,Lesara,Boohoo,168333
223,The Home Depot,Kingfisher,11091
224,B&Q,Kingfisher,1351922
225,Travis Perkins,Kingfisher,10205
226,ManoMano,Kingfisher,248020
227,Pelikan,Essendant,251649
228,Office Depot,Essendant,87961
229,Kimball International,Essendant,190526
230,Acorn Office Products,Essendant,1364262
231,FUJIFILM,Eastman Kodak Company,67352
232,Agfa-Gevaert,Eastman Kodak Company,6303
233,Canon,Eastman Kodak Company,1798
234,Photo-Me International,Eastman Kodak Company,9379
235,Delphi,Bosch,1815
236,Honeywell,Bosch,1830
237,Parker-Hannifin,Bosch,11352
238,Siemens,Bosch,21446
239,Whirlpool,Bosch,40514
240,Sensirion,Bosch,507084
241,The Home Depot,Bed Bath & Beyond,11091
242,Wayfair,Bed Bath & Beyond,18081
243,Williams-Sonoma,Bed Bath & Beyond,83874
244,Kohl's,Bed Bath & Beyond,247419
245,Next,Arcadia,1972
246,Debenhams,Arcadia,8075
247,H&M,Arcadia,125093
248,Inditex,Arcadia,129610
249,Primark Corporation,Arcadia,140549
250,Panasonic,Whirlpool,262
251,Samsung,Whirlpool,19579
252,Bosch,Whirlpool,37464
253,Haier,Whirlpool,150368
254,Alimentation Couche-Tard,Murphy USA,251514
255,CVR Energy,Murphy USA,192352
256,RaceTrac Petroleum,Murphy USA,204783
257,36 Lyn Refuel Station,Murphy USA,254162
258,CVS Health,Walgreens Boots Alliance,11040
259,Target,Walgreens Boots Alliance,11811
260,Walmart,Walgreens Boots Alliance,11960
261,Rite Aid,Walgreens Boots Alliance,99380
262,LORD Corporation,RPM International,94950
263,Sherwin-Williams,RPM International,114619
264,Eastman,RPM International,115246
265,LyondellBasell Industries,RPM International,141548
266,Ferro,RPM International,152316
267,Unilever,Kimberly-Clark,2040
268,Clorox,Kimberly-Clark,2055
269,Colgate Palmolive,Kimberly-Clark,2056
270,Procter & Gamble,Kimberly-Clark,2068
271,Edgewell Personal Care,Kimberly-Clark,249297
272,Kaufmann Mercantile,Sleep Number,189347
273,Williams-Sonoma,Sleep Number,83874
274,Wayfair,Sleep Number,18081
275,Purple,Sleep Number,219169
276,HNI Corporation,Herman Miller,10867
277,OSI Systems,Herman Miller,33952
278,Devon Office Furniture,Herman Miller,779747
