,displayName,tags,major_tags
1308,Italia Independent,"['consumer goods', 'Manufacturing & Industrial', 'distribution', 'luxury', 'lifestyle', 'eyewear']",['Manufacturing & Industrial']
1309,Aeffe,"['consumer goods', 'accessories', 'clothing', 'Retail', 'footwear']",['Retail']
1310,PPG Industries,"['fiber optic', 'coatings', 'Manufacturing & Industrial', 'sport', 'Automotive & Transportation', 'aerospace', 'advanced materials', 'chemicals']","['Manufacturing & Industrial', 'Automotive & Transportation']"
1311,Frigo-pak,"['Food & Beverage', 'consumer goods', 'beverages', 'nutrition']",['Food & Beverage']
1312,Excelligence Learning,"['consumer goods', 'Manufacturing & Industrial', 'Education', 'distribution', 'Retail']","['Manufacturing & Industrial', 'Education', 'Retail']"
1313,F.G. Europe,"['consumer goods', 'electronics', 'consumer electronics', 'appliances', 'hvac', 'Retail', 'electronic components']",['Retail']
1314,Nafpaktos Textile Industry,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'home & garden', 'clothing']",['Manufacturing & Industrial']
1315,New Wave Group,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'accessories', 'clothing', 'art', 'supermarkets', 'Retail', 'department stores']","['Manufacturing & Industrial', 'Retail']"
1316,Gima TT,"['tobacco', 'consumer goods', 'Manufacturing & Industrial', 'machinery', 'packaging']",['Manufacturing & Industrial']
1317,Paperpack Printing Box Manufacturing and Paper Packaging Industrial,"['paper and packaging', 'printing', 'consumer goods', 'Manufacturing & Industrial', 'packaging', 'Media & Entertainment']","['Manufacturing & Industrial', 'Media & Entertainment']"
1318,Min Yuen,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'chemicals']",['Manufacturing & Industrial']
1319,Ningbo Jenius,"['consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1320,Acushnet Company,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'accessories', 'clothing', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1321,Pacific Purification,"['consumer goods', 'water', 'Retail']",['Retail']
1322,East Brooklyn Labs,"['consumer goods', 'wireless', 'Technology']",['Technology']
1323,The Encore Group,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Business Products & Services', 'packaging']","['Manufacturing & Industrial', 'Business Products & Services']"
1324,kaufDA,"['consumer goods', 'Retail', 'marketplace']",['Retail']
1325,Public Goods,"['consumer goods', 'distribution', 'Retail', 'shipping', 'marketplace']",['Retail']
1326,Maximum Weather Instruments,"['consumer goods', 'sport', 'Retail']",['Retail']
1327,Inline Warehouse,"['consumer goods', 'sport', 'Retail']",['Retail']
1328,Academy of Learners,"['consumer goods', 'sport', 'Retail']",['Retail']
1329,TackleTech,"['consumer goods', 'sport', 'Retail']",['Retail']
1330,Athletic Stuff Store,"['consumer goods', 'sport', 'Retail']",['Retail']
1331,CCI Industries,"['consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1332,Alpine Trophies,"['consumer goods', 'Retail']",['Retail']
1333,The Original Whistle Stop,"['consumer goods', 'distribution', 'Retail']",['Retail']
1334,My Brands,"['consumer goods', 'distribution', 'ecommerce', 'platform', 'Retail']",['Retail']
1335,Ironcompany.com,"['consumer goods', 'sport', 'Retail']",['Retail']
1336,ATS Media,"['consumer goods', 'sport', 'Retail']",['Retail']
1337,Kit Kraft,"['consumer goods', 'sport', 'Retail']",['Retail']
1338,Du-All Art and Drafting Supply,"['consumer goods', 'sport', 'Retail']",['Retail']
1339,Treads Bicycle Outfitters,"['consumer goods', 'sport', 'accessories', 'Retail']",['Retail']
1340,Public Missiles,"['consumer goods', 'sport', 'Retail']",['Retail']
1341,Cello Health,"['enterprise software', 'Technology']",['Technology']
1342,TheSurpriser.com,"['consumer goods', 'ecommerce', 'platform', 'Technology', 'gifts', 'Retail']","['Technology', 'Retail']"
1343,JMTY,"['consumer goods', 'platform', 'used goods']",[]
1344,Ryan Enterprise,"['consumer goods', 'distribution', 'Retail']",['Retail']
1345,Awards By Norm,"['consumer goods', 'accessories', 'distribution', 'gifts', 'Retail']",['Retail']
1346,TheSurpriser.com,"['consumer goods', 'ecommerce', 'platform', 'Technology', 'gifts', 'Retail']","['Technology', 'Retail']"
1347,Fanli,"['auction', 'consumer goods', 'distribution', 'ecommerce', 'Retail']",['Retail']
1348,HuiMin,"['consumer goods', 'delivery', 'ecommerce', 'platform', 'Technology', 'Retail']","['Technology', 'Retail']"
1349,H. F. Staples & Co,"['consumer goods', 'Manufacturing & Industrial', 'consumer chemistry']",['Manufacturing & Industrial']
1350,Golf Cars of Louisiana,"['consumer goods', 'sport', 'Retail']",['Retail']
1351,Hengan,"['paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'packaging']",['Manufacturing & Industrial']
1352,Yonghui Superstores,"['consumer goods', 'electronics', 'consumer electronics', 'clothing', 'supermarkets', 'Retail']",['Retail']
1353,Metrovista,"['paper and packaging', 'printing', 'consumer goods', 'Business Products & Services', 'packaging', 'Retail']","['Business Products & Services', 'Retail']"
1354,Lotus Chocolate,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial']","['Food & Beverage', 'Manufacturing & Industrial']"
1355,Batesville,"['consumer goods', 'Manufacturing & Industrial', 'consumer products & services', 'funeral']",['Manufacturing & Industrial']
1356,Lotus Chocolate,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial']","['Food & Beverage', 'Manufacturing & Industrial']"
1357,Batesville,"['consumer goods', 'Manufacturing & Industrial', 'consumer products & services', 'funeral']",['Manufacturing & Industrial']
1358,Grays of Cambridge,"['consumer goods', 'Manufacturing & Industrial', 'sport']",['Manufacturing & Industrial']
1359,Stretchline,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'clothing']",['Manufacturing & Industrial']
1360,Delta Faucet Morgantown,"['consumer goods', 'Manufacturing & Industrial', 'manufacturing equipment', 'building materials']",['Manufacturing & Industrial']
1361,Interloop,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'clothing']",['Manufacturing & Industrial']
1362,Sophie Paris,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'accessories', 'clothing', 'platform', 'Retail', 'fashion']","['Manufacturing & Industrial', 'Retail']"
1363,DAP Products,"['consumer goods', 'Manufacturing & Industrial', 'chemicals']",['Manufacturing & Industrial']
1364,Rousselot,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'nutrition']","['Food & Beverage', 'Manufacturing & Industrial']"
1365,Victorinox,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'distribution', 'watches', 'clothing']",['Manufacturing & Industrial']
1366,Computer Nerds International,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'accessories', 'ecommerce', 'Retail']","['Manufacturing & Industrial', 'Retail']"
