,displayName,tags,major_tags
0,Samsung Electronics,"['conglomerates', 'consumer goods', 'electronics', 'artificial intelligence', 'Manufacturing & Industrial', 'consumer electronics', 'medical devices', 'machine learning', 'art', 'telecommunications', 'imaging', 'Technology', 'medical imaging', 'internet of things']","['Manufacturing & Industrial', 'Technology']"
1,The Walt Disney Company,"['media', 'consumer goods', 'magazine', 'hotels', 'resorts', 'video content', 'Media & Entertainment', 'golf', 'music', 'television', 'video', 'hotel', 'publishing']",['Media & Entertainment']
2,Macy's,"['consumer goods', 'ecommerce', 'clothing', 'art', 'Retail', 'department stores', 'fashion', 'mobile app', 'footwear', 'furniture']",['Retail']
3,Etsy,"['consumer goods', 'ecommerce', 'Retail', 'used goods', 'marketplace']",['Retail']
4,Tesco,"['groceries', 'consumer goods', 'telecommunications', 'insurance', 'Financial Services', 'supermarkets', 'Retail']","['Financial Services', 'Retail']"
5,Ocado,"['Food & Beverage', 'groceries', 'consumer goods', 'health & beauty', 'delivery', 'pets', 'ecommerce', 'Retail']","['Food & Beverage', 'Retail']"
6,Gap,"['consumer goods', 'sport', 'accessories', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail']
7,Target,"['consumer goods', 'electronics', 'toys', 'ecommerce', 'clothing', 'art', 'Retail', 'department stores', 'furniture']",['Retail']
8,Starbucks,"['Food & Beverage', 'consumer goods', 'hospitality', 'restaurant', 'Retail']","['Food & Beverage', 'Retail']"
9,Amazon,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']"
10,Reckitt Benckiser,"['consumer goods', 'health & beauty', 'pharmacy', 'pharma', 'Healthcare', 'home care', 'Retail', 'nutrition']","['Healthcare', 'Retail']"
11,Costco,"['groceries', 'consumer goods', 'electronics', 'ecommerce', 'appliances', 'clothing', 'Retail']",['Retail']
12,Walmart,"['consumer goods', 'electronics', 'consumer products & services', 'ecommerce', 'art', 'supermarkets', 'Retail', 'department stores']",['Retail']
13,Kroger,"['Food & Beverage', 'groceries', 'consumer goods', 'jewellery', 'art', 'supermarkets', 'Retail', 'department stores']","['Food & Beverage', 'Retail']"
14,Marks & Spencer,"['groceries', 'consumer goods', 'health & beauty', 'luxury', 'home & garden', 'ecommerce', 'clothing', 'art', 'kids', 'Retail', 'department stores', 'footwear']",['Retail']
15,Procter & Gamble,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'consumer chemistry', 'Healthcare']","['Manufacturing & Industrial', 'Healthcare']"
16,Wayfair,"['consumer goods', 'home & garden', 'ecommerce', 'Retail', 'furniture']",['Retail']
17,Sainsbury's,"['groceries', 'consumer goods', 'Investment', 'mortgages', 'ecommerce', 'clothing', 'Financial Services', 'supermarkets', 'property management', 'Retail']","['Investment', 'Financial Services', 'Retail']"
18,Caseys General Stores,"['tobacco', 'Food & Beverage', 'consumer goods', 'health & beauty', 'beverages', 'Retail']","['Food & Beverage', 'Retail']"
19,Sysco,"['Food & Beverage', 'groceries', 'consumer goods', 'distribution', 'Retail', 'supply chain']","['Food & Beverage', 'Retail']"
20,Tiffany & Co.,"['consumer goods', 'accessories', 'luxury', 'watches', 'jewellery', 'Retail']",['Retail']
21,Nike,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'clothing', 'Retail', 'footwear']","['Manufacturing & Industrial', 'Retail']"
22,3D Systems,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']"
23,Cintas,"['consumer goods', 'Manufacturing & Industrial', 'Business Products & Services', 'compliance', 'facilities management', 'rental']","['Manufacturing & Industrial', 'Business Products & Services']"
24,Colgate Palmolive,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'dental', 'consumer chemistry', 'nutrition']",['Manufacturing & Industrial']
25,Coca-Cola European Partners,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial']","['Food & Beverage', 'Manufacturing & Industrial']"
26,Clorox,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'home care', 'chemicals']","['Food & Beverage', 'Manufacturing & Industrial']"
27,Burlington Stores,"['consumer goods', 'home improvement', 'accessories', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail']
28,Johnson & Johnson,"['conglomerates', 'consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'medical devices', 'consumer chemistry', 'pharma', 'Healthcare']","['Manufacturing & Industrial', 'Healthcare']"
29,Best Buy,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'Retail']",['Retail']
30,Dollar General,"['Food & Beverage', 'consumer goods', 'health & beauty', 'clothing', 'Retail']","['Food & Beverage', 'Retail']"
31,Debenhams,"['consumer goods', 'electronics', 'health & beauty', 'accessories', 'ecommerce', 'clothing', 'Retail']",['Retail']
32,Conn's,"['mattress', 'consumer goods', 'electronics', 'consumer electronics', 'appliances', 'Retail', 'furniture']",['Retail']
33,Office Depot,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'Retail', 'furniture']",['Retail']
34,British American Tobacco,"['tobacco', 'consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
35,Big 5 Sporting Goods,"['consumer goods', 'sport', 'accessories', 'clothing', 'fitness & wellness', 'Retail', 'footwear']",['Retail']
36,TravelCenters of America,"['car services', 'consumer goods', 'sport', 'Automotive & Transportation', 'restaurant', 'auto repairs', 'Retail']","['Automotive & Transportation', 'Retail']"
37,Big Lots,"['groceries', 'consumer goods', 'home & garden', 'Retail', 'furniture']",['Retail']
38,Five Below,"['consumer goods', 'accessories', 'holding company', 'jewellery', 'clothing', 'Retail']",['Retail']
39,DICK’S Sporting Goods,"['consumer goods', 'sport', 'ecommerce', 'clothing', 'Retail', 'used goods', 'footwear']",['Retail']
40,The Goodyear Tire & Rubber Company,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'auto parts', 'Automotive & Transportation', 'art']","['Manufacturing & Industrial', 'Automotive & Transportation']"
41,Sears Hometown and Outlet Stores,"['mattress', 'sport', 'home improvement', 'ecommerce', 'appliances', 'clothing', 'Retail']",['Retail']
42,Dollar Tree,"['consumer goods', 'consumer products & services', 'ecommerce', 'supermarkets', 'Retail']",['Retail']
43,Boohoo,"['consumer goods', 'health & beauty', 'accessories', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail']
44,Kingfisher,"['consumer goods', 'home improvement', 'home & garden', 'ecommerce', 'interior design', 'Retail']",['Retail']
45,Essendant,"['consumer goods', 'distribution', 'Retail', 'furniture']",['Retail']
46,Eastman Kodak Company,"['printing', 'consumer goods', 'electronics', 'Manufacturing & Industrial', 'photography', 'consumer electronics', 'video content', 'Media & Entertainment', 'imaging', 'Technology', 'video']","['Manufacturing & Industrial', 'Media & Entertainment', 'Technology']"
47,Bosch,"['conglomerates', 'consumer goods', 'electronics', 'Manufacturing & Industrial', 'auto parts', 'engineering', 'art', 'Technology', 'self driving', 'internet of things', 'Energy & Utilities', 'cloud']","['Manufacturing & Industrial', 'Technology', 'Energy & Utilities']"
48,Bed Bath & Beyond,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail']
49,Arcadia,"['consumer goods', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail']
50,Whirlpool,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'home & garden', 'appliances']",['Manufacturing & Industrial']
51,Murphy USA,"['consumer goods', 'oil', 'oil & gas', 'petroleum', 'Retail', 'Energy & Utilities']","['Retail', 'Energy & Utilities']"
52,Walgreens Boots Alliance,"['consumer products & services', 'pharma', 'Healthcare', 'supplements', 'distribution', 'ecommerce', 'fitness & wellness', 'Retail']","['Healthcare', 'Retail']"
53,RPM International,"['coatings', 'consumer goods', 'Manufacturing & Industrial', 'polymers', 'building materials', 'distribution', 'holding company', 'advanced materials', 'chemicals']",['Manufacturing & Industrial']
54,Kimberly-Clark,"['paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'Healthcare', 'packaging']","['Manufacturing & Industrial', 'Healthcare']"
55,Sleep Number,"['mattress', 'consumer goods', 'Manufacturing & Industrial', 'accessories', 'home & garden', 'ecommerce', 'interior design', 'Retail', 'furniture']","['Manufacturing & Industrial', 'Retail']"
56,Herman Miller,"['consumer goods', 'Manufacturing & Industrial', 'consumer products & services', 'textiles', 'home improvement', 'home & garden', 'Real Estate & Construction', 'ecommerce', 'interior design', 'Retail', 'furniture']","['Manufacturing & Industrial', 'Real Estate & Construction', 'Retail']"
57,Lush,"['consumer goods', 'health & beauty', 'cosmetics', 'distribution', 'Retail']",['Retail']
58,J.M. Smucker,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'packaging']","['Food & Beverage', 'Manufacturing & Industrial']"
59,Mattel,"['consumer goods', 'Manufacturing & Industrial', 'magazine', 'accessories', 'leisure', 'toys', 'games', 'distribution', 'ecommerce', 'kids', 'Retail']","['Manufacturing & Industrial', 'Retail']"
60,Mohawk Industries,"['flooring', 'commercial real estate', 'consumer goods', 'Manufacturing & Industrial', 'textiles', 'home improvement', 'building materials', 'Real Estate & Construction']","['Manufacturing & Industrial', 'Real Estate & Construction']"
61,Newell Brands,"['consumer goods', 'Manufacturing & Industrial', 'plastic', 'accessories', 'manufacturing equipment', 'distribution', 'home & garden']",['Manufacturing & Industrial']
62,Philip Morris,"['tobacco', 'consumer goods', 'Manufacturing & Industrial', 'distribution']",['Manufacturing & Industrial']
63,Domtar,"['paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'distribution', 'packaging']",['Manufacturing & Industrial']
64,Reynolds American,"['tobacco', 'consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
65,L'Oreal,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'cosmetics', 'distribution', 'Retail', 'fashion']","['Manufacturing & Industrial', 'Retail']"
66,Staples,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'Retail', 'supply chain', 'furniture']",['Retail']
67,Kate Spade,"['consumer goods', 'clothing', 'Retail', 'fashion', 'marketplace']",['Retail']
68,RTW Retailwinds,"['consumer goods', 'health & beauty', 'jewellery', 'clothing', 'Retail', 'fashion']",['Retail']
69,Williams-Sonoma,"['consumer goods', 'home improvement', 'accessories', 'distribution', 'home & garden', 'ecommerce', 'interior design', 'lighting', 'Retail', 'furniture']",['Retail']
70,Mothercare,"['consumer goods', 'toys', 'ecommerce', 'clothing', 'kids', 'Retail']",['Retail']
71,Tapestry,"['consumer goods', 'distribution', 'luxury', 'watches', 'jewellery', 'gifts', 'Retail', 'fashion', 'footwear']",['Retail']
72,Vista Outdoor,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'leisure', 'Retail']","['Manufacturing & Industrial', 'Retail']"
73,Advance Auto Parts,"['car services', 'consumer goods', 'sport', 'batteries', 'auto parts', 'Automotive & Transportation', 'distribution', 'ecommerce', 'art', 'auto repairs', 'Retail', 'engines', 'chemicals']","['Automotive & Transportation', 'Retail']"
74,Electrolux,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'appliances']",['Manufacturing & Industrial']
75,Party City Holdco,"['consumer goods', 'Manufacturing & Industrial', 'holding company', 'clothing', 'interior design', 'Retail']","['Manufacturing & Industrial', 'Retail']"
76,The Container Store,"['consumer goods', 'home improvement', 'home & garden', 'interior design', 'Retail']",['Retail']
77,Tuesday Morning,"['groceries', 'consumer goods', 'toys', 'art', 'gifts', 'Retail', 'department stores', 'fashion']",['Retail']
78,Sportsman's Warehouse,"['consumer goods', 'sport', 'fishery', 'clothing', 'lifestyle', 'Retail', 'Agriculture', 'footwear']","['Retail', 'Agriculture']"
79,Cabela's,"['consumer goods', 'ecommerce', 'firearms', 'clothing', 'Retail', 'footwear']",['Retail']
80,Dunelm Group,"['consumer goods', 'Manufacturing & Industrial', 'home & garden', 'Retail']","['Manufacturing & Industrial', 'Retail']"
81,PriceSmart,"['groceries', 'consumer goods', 'sport', 'appliances', 'clothing', 'supermarkets', 'Retail']",['Retail']
82,Unilever,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'cosmetics', 'home care']","['Food & Beverage', 'Manufacturing & Industrial']"
83,Fred's,"['groceries', 'consumer goods', 'pharmacy', 'pharma', 'Healthcare', 'supermarkets', 'Retail']","['Healthcare', 'Retail']"
84,Travis Perkins,"['pipelines', 'consumer goods', 'home improvement', 'building materials', 'home & garden', 'mechanical components', 'hvac', 'Retail']",['Retail']
85,A.O. Smith,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'water', 'engineering', 'hvac']",['Manufacturing & Industrial']
86,Hasbro,"['media', 'consumer goods', 'Manufacturing & Industrial', 'leisure', 'toys', 'games', 'Media & Entertainment', 'kids', 'Retail', 'television']","['Manufacturing & Industrial', 'Media & Entertainment', 'Retail']"
87,Wish,"['consumer goods', 'electronics', 'accessories', 'ecommerce', 'clothing', 'Retail']",['Retail']
88,Ikea,"['consumer goods', 'Manufacturing & Industrial', 'appliances', 'Retail', 'furniture']","['Manufacturing & Industrial', 'Retail']"
89,Ingles Markets,"['Food & Beverage', 'consumer goods', 'supermarkets', 'Retail']","['Food & Beverage', 'Retail']"
90,Smart & Final,"['Food & Beverage', 'paper and packaging', 'groceries', 'consumer goods', 'distribution', 'packaging', 'supermarkets', 'Retail']","['Food & Beverage', 'Retail']"
91,CST Brands,"['Food & Beverage', 'car services', 'consumer goods', 'petroleum', 'Retail']","['Food & Beverage', 'Retail']"
92,John Lewis,"['groceries', 'consumer goods', 'ecommerce', 'clothing', 'insurance', 'Financial Services', 'Retail', 'fashion', 'furniture']","['Financial Services', 'Retail']"
93,Multi-Color Corporation,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'polymers', 'packaging']",['Manufacturing & Industrial']
94,Stein Mart,"['consumer goods', 'home & garden', 'Retail', 'fashion']",['Retail']
95,Primo Water,"['Food & Beverage', 'consumer goods', 'water', 'appliances']",['Food & Beverage']
96,Publix,"['Food & Beverage', 'groceries', 'consumer goods', 'health & beauty', 'supermarkets', 'Retail']","['Food & Beverage', 'Retail']"
97,CTI Industries,"['consumer goods', 'Manufacturing & Industrial', 'toys', 'distribution', 'packaging']",['Manufacturing & Industrial']
98,Tootsie Roll Industries,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial']","['Food & Beverage', 'Manufacturing & Industrial']"
99,Altria,"['tobacco', 'consumer goods', 'Manufacturing & Industrial', 'holding company', 'Retail', 'wine']","['Manufacturing & Industrial', 'Retail']"
100,Kimball International,"['consumer goods', 'Manufacturing & Industrial', 'home improvement', 'interior design', 'furniture']",['Manufacturing & Industrial']
101,Imperial Brands,"['tobacco', 'consumer goods', 'Manufacturing & Industrial', 'distribution', 'Retail']","['Manufacturing & Industrial', 'Retail']"
102,Knoll,"['consumer goods', 'Manufacturing & Industrial', 'ecommerce', 'Retail']","['Manufacturing & Industrial', 'Retail']"
103,Morrisons,"['Food & Beverage', 'groceries', 'consumer goods', 'ecommerce', 'supermarkets', 'Retail']","['Food & Beverage', 'Retail']"
104,The Scotts Miracle-Gro,"['consumer goods', 'Manufacturing & Industrial', 'home & garden', 'Retail']","['Manufacturing & Industrial', 'Retail']"
105,Secret Sales,"['consumer goods', 'ecommerce', 'jewellery', 'Retail', 'fashion']",['Retail']
106,Gear4music,"['consumer goods', 'ecommerce', 'Media & Entertainment', 'music', 'Retail']","['Media & Entertainment', 'Retail']"
107,Crystal Rock Holdings,"['consumer goods', 'consumer products & services', 'distribution', 'Retail']",['Retail']
108,Topshop Topman,"['consumer goods', 'accessories', 'ecommerce', 'clothing', 'art', 'Retail', 'department stores', 'fashion', 'footwear']",['Retail']
109,Tupperware Brands,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'cosmetics', 'home improvement', 'luxury', 'jewellery', 'interior design', 'fitness & wellness', 'lifestyle', 'Retail', 'nutrition']","['Manufacturing & Industrial', 'Retail']"
110,Hanesbrands,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'accessories', 'ecommerce', 'clothing', 'lifestyle', 'Retail', 'footwear']","['Manufacturing & Industrial', 'Retail']"
111,Libbey,"['consumer goods', 'Manufacturing & Industrial', 'home improvement']",['Manufacturing & Industrial']
112,Mattress Firm,"['mattress', 'consumer goods', 'ecommerce', 'Retail']",['Retail']
113,Toronto-Dominion Bank (TD),"['investment management', 'Investment', 'mortgages', 'insurance', 'Financial Services', 'banks']","['Investment', 'Financial Services']"
114,JAKKS Pacific,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'toys', 'kids']",['Manufacturing & Industrial']
115,HB Fuller,"['coatings', 'consumer goods', 'Manufacturing & Industrial', 'polymers', 'chemicals']",['Manufacturing & Industrial']
116,Macfarlane Group,"['self storage', 'consumer goods', 'Manufacturing & Industrial', 'packaging']",['Manufacturing & Industrial']
117,Sugarmade,"['consumer goods', 'Manufacturing & Industrial', 'distribution', 'packaging', 'Retail']","['Manufacturing & Industrial', 'Retail']"
118,Leggett & Platt,"['consumer goods', 'metal products', 'Manufacturing & Industrial', 'wood product', 'engineering', 'interior design', 'Retail', 'furniture']","['Manufacturing & Industrial', 'Retail']"
119,Tandy Leather Factory,"['consumer goods', 'distribution', 'Retail']",['Retail']
120,Lifetime Brands,"['consumer goods', 'Manufacturing & Industrial', 'home improvement', 'interior design', 'lifestyle']",['Manufacturing & Industrial']
121,Prestige Brands Holdings,"['consumer goods', 'Manufacturing & Industrial', 'healthtech', 'biotech', 'pharma', 'Healthcare']","['Manufacturing & Industrial', 'Healthcare']"
122,Packaging Corporation of America,"['paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'packaging']",['Manufacturing & Industrial']
123,Synergy CHC,"['consumer goods', 'Healthcare', 'fitness & wellness']",['Healthcare']
124,Gordmans Stores,"['consumer goods', 'art', 'Retail', 'department stores', 'fashion']",['Retail']
125,Compass Minerals,"['mining', 'consumer goods', 'Manufacturing & Industrial', 'chemicals', 'agritech', 'nutrition']",['Manufacturing & Industrial']
126,The Hut Group,"['consumer goods', 'electronics', 'consumer electronics', 'health & beauty', 'ecommerce', 'gifts', 'Retail']",['Retail']
127,Bonmarche,"['consumer goods', 'accessories', 'clothing', 'Retail', 'fashion']",['Retail']
128,Nasdaq,"['fintech', 'market research', 'financial data', 'exchange', 'Financial Services', 'brokerage', 'search']",['Financial Services']
129,Tennant,"['coatings', 'consumer goods', 'safety', 'Manufacturing & Industrial', 'machinery', 'home care', 'cleantech', 'chemicals']",['Manufacturing & Industrial']
130,Berry Global,"['coatings', 'consumer goods', 'Manufacturing & Industrial', 'polymers', 'plastic', 'Healthcare', 'packaging', 'engineering']","['Manufacturing & Industrial', 'Healthcare']"
131,Summer Infant,"['consumer goods', 'ecommerce', 'kids', 'Retail', 'marketplace']",['Retail']
132,Rocky Brands,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'clothing', 'Retail', 'footwear']","['Manufacturing & Industrial', 'Retail']"
133,SunOpta,"['agriculture materials', 'Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'packaging', 'beverages', 'Technology', 'chemicals', 'nutrition']","['Food & Beverage', 'Manufacturing & Industrial', 'Technology']"
134,AeroGrow International,"['consumer goods', 'ecommerce', 'Retail']",['Retail']
135,Panasonic,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'appliances', 'electronic components']",['Manufacturing & Industrial']
136,Decora Blind Systems,"['consumer goods', 'home & garden', 'Retail']",['Retail']
137,Brunswick,"['consumer goods', 'Manufacturing & Industrial', 'manufacturing equipment', 'fitness & wellness', 'marine']",['Manufacturing & Industrial']
138,Casper,"['mattress', 'consumer goods', 'Manufacturing & Industrial', 'home improvement', 'pets', 'ecommerce', 'Retail']","['Manufacturing & Industrial', 'Retail']"
139,Turning Point Brands,"['tobacco', 'consumer goods', 'electronics', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
140,CSS Industries,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'distribution', 'gifts']",['Manufacturing & Industrial']
141,N Brown Group,"['consumer goods', 'clothing', 'interior design', 'Retail', 'fashion', 'used goods', 'footwear']",['Retail']
142,Leatt,"['consumer goods', 'Manufacturing & Industrial', 'sport']",['Manufacturing & Industrial']
143,Central Garden & Pet Co,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'supplements', 'distribution', 'pets', 'lifestyle', 'Retail']","['Manufacturing & Industrial', 'Retail']"
144,Youngevity International,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'fitness & wellness', 'Retail', 'nutrition']","['Manufacturing & Industrial', 'Retail']"
145,Alkaline Water,"['consumer goods', 'Manufacturing & Industrial', 'water']",['Manufacturing & Industrial']
146,Scott's Liquid Gold,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'distribution', 'Retail']","['Manufacturing & Industrial', 'Retail']"
147,Duluth Trading Company,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'accessories', 'clothing', 'Retail']","['Manufacturing & Industrial', 'Retail']"
148,Ourpets,"['consumer goods', 'Manufacturing & Industrial', 'pets', 'Retail']","['Manufacturing & Industrial', 'Retail']"
149,Gilla,"['e-cigarettes', 'tobacco', 'consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
150,CV Sciences,"['consumer goods', 'Healthcare', 'cannabis', 'drug development']",['Healthcare']
151,Sealskinz,"['consumer goods', 'clothing', 'Retail']",['Retail']
152,Gilbertson & Page,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'pets', 'beverages']","['Food & Beverage', 'Manufacturing & Industrial']"
153,Helen of Troy,"['consumer goods', 'Manufacturing & Industrial', 'Retail']","['Manufacturing & Industrial', 'Retail']"
154,Dollar Shave Club,"['consumer goods', 'health & beauty', 'ecommerce', 'Retail']",['Retail']
155,Studio,"['consumer goods', 'ecommerce', 'Retail']",['Retail']
156,Poundland,"['consumer goods', 'Retail']",['Retail']
157,Sequential Brands Group,"['consumer goods', 'Retail']",['Retail']
158,Regal Entertainment Group,"['movies', 'Media & Entertainment']",['Media & Entertainment']
159,Schweitzer-Mauduit International,"['tobacco', 'paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'packaging', 'renewables']",['Manufacturing & Industrial']
160,Indiegogo,"['consumer goods', 'fintech', 'Financial Services', 'platform', 'Technology', 'crowdfunding']","['Financial Services', 'Technology']"
161,Lazada,"['groceries', 'consumer goods', 'electronics', 'consumer electronics', 'distribution', 'ecommerce', 'clothing', 'Retail', 'fashion', 'marketplace']",['Retail']
162,Sugru,"['consumer goods', 'Manufacturing & Industrial', 'polymers', 'chemicals']",['Manufacturing & Industrial']
163,Flipkart,"['consumer goods', 'electronics', 'consumer products & services', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'marketplace']","['Technology', 'Retail']"
164,Escalade,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'distribution', 'clothing', 'Retail']","['Manufacturing & Industrial', 'Retail']"
165,Johnson Outdoors,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'accessories', 'leisure', 'Retail']","['Manufacturing & Industrial', 'Retail']"
166,Motocaddy,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'automation', 'robotics', 'Technology']","['Manufacturing & Industrial', 'Technology']"
167,The Natural Wood Floor,"['consumer goods', 'Manufacturing & Industrial', 'wood product', 'home improvement', 'building materials', 'interior design']",['Manufacturing & Industrial']
168,Nova Lifestyle,"['consumer goods', 'Manufacturing & Industrial', 'home improvement', 'lifestyle', 'furniture']",['Manufacturing & Industrial']
169,MyOptique Group,"['consumer goods', 'ecommerce', 'Retail', 'eyewear']",['Retail']
170,House of Fraser,"['consumer goods', 'ecommerce', 'clothing', 'art', 'interior design', 'Retail', 'department stores', 'furniture']",['Retail']
171,Myntra,"['consumer goods', 'accessories', 'ecommerce', 'clothing', 'platform', 'Retail', 'fashion', 'footwear', 'marketplace']",['Retail']
172,Oil-Dri Corporation Of America,"['mining', 'consumer goods', 'Manufacturing & Industrial', 'oil', 'chemicals']",['Manufacturing & Industrial']
173,Church & Dwight,"['consumer goods', 'Manufacturing & Industrial', 'Retail', 'chemicals']","['Manufacturing & Industrial', 'Retail']"
174,Momentive,"['consumer goods', 'Manufacturing & Industrial', 'advanced materials', 'chemicals']",['Manufacturing & Industrial']
175,The Hut Group,"['consumer goods', 'electronics', 'consumer electronics', 'health & beauty', 'ecommerce', 'gifts', 'Retail']",['Retail']
176,Henkel,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'cosmetics', 'home care', 'Retail', 'chemicals']","['Manufacturing & Industrial', 'Retail']"
177,Funko,"['consumer goods', 'toys', 'Media & Entertainment', 'Retail']","['Media & Entertainment', 'Retail']"
178,Howden Joinery,"['consumer goods', 'Manufacturing & Industrial', 'home & garden']",['Manufacturing & Industrial']
179,Euro Garages,"['consumer goods', 'Retail']",['Retail']
180,Boxed,"['Food & Beverage', 'groceries', 'consumer goods', 'delivery', 'ecommerce']",['Food & Beverage']
181,Watsco,"['consumer goods', 'electronics', 'consumer electronics', 'building materials', 'distribution', 'hvac', 'Retail']",['Retail']
182,Glossier,"['consumer goods', 'health & beauty', 'cosmetics', 'luxury', 'ecommerce', 'Retail', 'fashion']",['Retail']
183,Pz Cussons,"['groceries', 'consumer goods', 'Retail']",['Retail']
184,The Licensing Company,"['consumer goods', 'Marketing']",['Marketing']
185,Snapdeal,"['consumer goods', 'distribution', 'ecommerce', 'Retail', 'marketplace']",['Retail']
186,BNSF Railway,"['consumer goods', 'sport', 'Travel & Leisure', 'rail', 'transportation']",['Travel & Leisure']
187,Allbirds,"['consumer goods', 'Manufacturing & Industrial', 'sustainability', 'bcorp', 'footwear']",['Manufacturing & Industrial']
188,Cyanotech,"['consumer goods', 'Manufacturing & Industrial', 'biotech', 'Healthcare', 'supplements', 'nutrition']","['Manufacturing & Industrial', 'Healthcare']"
189,Synutra International,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial', 'chemicals', 'nutrition']","['Food & Beverage', 'Manufacturing & Industrial']"
190,YETI,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'leisure']",['Manufacturing & Industrial']
191,Groupe SEB,"['consumer goods', 'home care', 'appliances', 'Retail']",['Retail']
192,Crown Imperial,"['consumer goods', 'Manufacturing & Industrial', 'home improvement', 'interior design', 'furniture']",['Manufacturing & Industrial']
193,Crown Crafts,"['consumer goods', 'Manufacturing & Industrial', 'textiles', 'kids']",['Manufacturing & Industrial']
194,Delta Global Source,"['paper and packaging', 'consumer goods', 'Manufacturing & Industrial', 'luxury', 'packaging']",['Manufacturing & Industrial']
195,John Lewis Partnership,"['consumer goods', 'health & beauty', 'home & garden', 'ecommerce', 'art', 'insurance', 'Financial Services', 'gifts', 'Retail', 'department stores']","['Financial Services', 'Retail']"
196,Iceland Foods,"['Food & Beverage', 'groceries', 'consumer goods', 'Retail']","['Food & Beverage', 'Retail']"
197,Charlie's Holdings,"['e-cigarettes', 'consumer goods', 'Manufacturing & Industrial', 'Retail']","['Manufacturing & Industrial', 'Retail']"
198,Edgewell Personal Care,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'distribution', 'holding company', 'Retail']","['Manufacturing & Industrial', 'Retail']"
199,Xcel Brands,"['consumer goods', 'Marketing', 'jewellery', 'clothing', 'Retail', 'fashion', 'footwear']","['Marketing', 'Retail']"
200,Victoria Plum,"['luxury', 'ecommerce', 'Retail', 'furniture']",['Retail']
201,L.L.Bean,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'sport', 'accessories', 'ecommerce', 'clothing', 'Retail', 'footwear']","['Manufacturing & Industrial', 'Retail']"
