,amount,date,displayName,name,sharePrice,sharesIssued,stage,totalSharesOutstanding
905,160000.0 USD,11/13/13,Carousell,Darius Cheung,,,Seed,
906,160000.0 USD,11/13/13,Carousell,Danny Oei Wirianto,,,Seed,
907,,9/1/13,Carousell,Rakuten Capital,,,Seed,
908,,3/31/13,Carousell,Quest Ventures,,,Historical,
909,,3/1/13,Carousell,Quest Ventures,,,Angel,
910,10000000.0 USD,1/10/17,Eleven James,B. Riley Financial,,,Late,
911,10000000.0 USD,1/10/17,Eleven James,Great American Capital Partners,,,Late,
912,200000.0 USD,12/31/13,Eleven James,BoxGroup,,,Seed,
913,200000.0 USD,12/31/13,Eleven James,WGI Group,,,Seed,
914,200000.0 USD,12/31/13,Eleven James,Brian Distelburger,,,Seed,
915,200000.0 USD,12/31/13,Eleven James,Ed Moran,,,Seed,
916,200000.0 USD,12/31/13,Eleven James,Ken Austin,,,Seed,
917,200000.0 USD,12/31/13,Eleven James,Kenny Dichter,,,Seed,
918,200000.0 USD,12/31/13,Eleven James,Jason Saltzman,,,Seed,
919,26666666.666666668 USD,1/30/19,FabFitFun,Kleiner Perkins Caufield & Byers,,,Series A,
920,26666666.666666668 USD,1/30/19,FabFitFun,New Enterprise Associates,,,Series A,
921,26666666.666666668 USD,1/30/19,FabFitFun,Upfront Ventures,,,Series A,
922,250000.0 USD,10/13/15,FabFitFun,New Enterprise Associates,,,Series A,
923,250000.0 USD,10/13/15,FabFitFun,Upfront Ventures,,,Series A,
924,250000.0 USD,10/13/15,FabFitFun,500 Startups,,,Series A,
925,250000.0 USD,10/13/15,FabFitFun,Rachel Zoe,,,Series A,
926,250000.0 USD,10/13/15,FabFitFun,Simon Venture Group,,,Series A,
927,250000.0 USD,10/13/15,FabFitFun,Joshua Kushner,,,Series A,
928,250000.0 USD,10/13/15,FabFitFun,Draft Ventures,,,Series A,
929,250000.0 USD,10/13/15,FabFitFun,Eytan Elbaz,,,Series A,
930,250000.0 USD,10/13/15,FabFitFun,Daniel Curran,,,Series A,
931,250000.0 USD,10/13/15,FabFitFun,Will Gaybrick,,,Series A,
932,250000.0 USD,10/13/15,FabFitFun,Barak Diskin,,,Series A,
933,250000.0 USD,10/13/15,FabFitFun,Joe Green,,,Series A,
934,250000.0 USD,10/13/15,FabFitFun,William Woodward,,,Series A,
935,250000.0 USD,10/13/15,FabFitFun,Jonathan Shokrian,,,Series A,
936,1333333.3333333333 USD,7/1/14,mNectar,New Enterprise Associates,,,Series A,
937,1333333.3333333333 USD,7/1/14,mNectar,Social Starts,,,Series A,
938,1333333.3333333333 USD,7/1/14,mNectar,Fenox Venture Capital,,,Series A,
939,1333333.3333333333 USD,7/1/14,mNectar,XG Ventures,,,Series A,
940,1333333.3333333333 USD,7/1/14,mNectar,Correlation Ventures,,,Series A,
941,1333333.3333333333 USD,7/1/14,mNectar,DHVC (Danhua Capital),,,Series A,
942,625000.0 USD,9/30/13,mNectar,Kevin Chou,,,Seed,
943,50205000.0 USD,4/11/17,Takealot,Tiger Global Management,,,Historical,
944,50205000.0 USD,4/11/17,Takealot,Naspers,,,Historical,
945,,1/20/17,Everything But The House,Hyde Park Venture Partners,,,Unattributed,
946,,1/20/17,Everything But The House,New Coast Ventures,,,Unattributed,
947,10375000.0 USD,10/31/16,Everything But The House,e.ventures,,,Series C,
948,10375000.0 USD,10/31/16,Everything But The House,Greycroft Partners,,,Series C,
949,10375000.0 USD,10/31/16,Everything But The House,Spark Capital,,,Series C,
950,10375000.0 USD,10/31/16,Everything But The House,Greenspring Associates,,,Series C,
951,8600000.0 USD,10/31/16,Everything But The House,e.ventures,,,Historical,
952,8600000.0 USD,10/31/16,Everything But The House,Greycroft Partners,,,Historical,
953,8600000.0 USD,10/31/16,Everything But The House,Spark Capital,,,Historical,
954,8600000.0 USD,10/31/16,Everything But The House,Greenspring Associates,,,Historical,
955,8600000.0 USD,10/31/16,Everything But The House,Peak Opportunity Partners,,,Historical,
956,2000000.0 USD,12/6/16,Goddess Garden,Renewal Funds,,,Series A,
957,3700000.0 USD,7/19/16,NurturMe,Advantage Capital Agribusiness Partners,,,Unattributed,
958,1500000.0 USD,5/21/15,NurturMe,eCompenterprises,,,Unattributed,
959,,4/24/18,e.l.f. Cosmetics,TPG,,,Historical,
960,,10/16/15,Keen Home,FundersClub,,,Unattributed,
961,,10/16/15,Keen Home,American Family Ventures,,,Unattributed,
962,,10/16/15,Keen Home,Lowe’s,,,Unattributed,
963,,10/16/15,Keen Home,Galvanize Ventures,,,Unattributed,
964,,10/16/15,Keen Home,Techstars Ventures,,,Unattributed,
965,1520000.0 USD,10/21/14,Keen Home,RMR Capital,,,Seed,
966,15000000.0 USD,6/18/19,Razorpay,Y Combinator,,,Series C,
967,15000000.0 USD,6/18/19,Razorpay,Tiger Global Management,,,Series C,
968,15000000.0 USD,6/18/19,Razorpay,Ribbit Capital,,,Series C,
969,15000000.0 USD,6/18/19,Razorpay,Meyer Malka,,,Series C,
970,15000000.0 USD,6/18/19,Razorpay,Sequoia Capital India,,,Series C,
971,6666666.666666667 USD,1/15/18,Razorpay,Y Combinator,,,Series B,
972,6666666.666666667 USD,1/15/18,Razorpay,Matrix Partners,,,Series B,
973,6666666.666666667 USD,1/15/18,Razorpay,Tiger Global Management,,,Series B,
974,4500000.0 USD,10/27/15,Razorpay,Tiger Global Management,,,Series A,
975,4500000.0 USD,10/27/15,Razorpay,Matrix Partners India,,,Series A,
976,123809.52380952382 USD,3/23/15,Razorpay,Y Combinator,,,Seed,
977,123809.52380952382 USD,3/23/15,Razorpay,Ram Shriram,,,Seed,
978,123809.52380952382 USD,3/23/15,Razorpay,Tikhon Bernstam,,,Seed,
979,123809.52380952382 USD,3/23/15,Razorpay,Justin Kan,,,Seed,
980,123809.52380952382 USD,3/23/15,Razorpay,Matrix Partners India,,,Seed,
981,123809.52380952382 USD,3/23/15,Razorpay,Kunal Bahl,,,Seed,
982,123809.52380952382 USD,3/23/15,Razorpay,Naveen Tewari,,,Seed,
983,123809.52380952382 USD,3/23/15,Razorpay,Rohit Bansal,,,Seed,
984,123809.52380952382 USD,3/23/15,Razorpay,Amit Gupta,,,Seed,
985,123809.52380952382 USD,3/23/15,Razorpay,GMO VenturePartners,,,Seed,
986,123809.52380952382 USD,3/23/15,Razorpay,Hiro Mashita,,,Seed,
987,123809.52380952382 USD,3/23/15,Razorpay,Jeff Huber,,,Seed,
988,123809.52380952382 USD,3/23/15,Razorpay,Punit Soni,,,Seed,
989,123809.52380952382 USD,3/23/15,Razorpay,Sandeep Tandon,,,Seed,
990,123809.52380952382 USD,3/23/15,Razorpay,Soma Capital,,,Seed,
991,123809.52380952382 USD,3/23/15,Razorpay,Anand Swaminathan,,,Seed,
992,123809.52380952382 USD,3/23/15,Razorpay,Michael R. Sutcliff,,,Seed,
993,123809.52380952382 USD,3/23/15,Razorpay,Abhay Singhal,,,Seed,
994,123809.52380952382 USD,3/23/15,Razorpay,Kunal Shah,,,Seed,
995,123809.52380952382 USD,3/23/15,Razorpay,Jeff Ferguson,,,Seed,
996,123809.52380952382 USD,3/23/15,Razorpay,Bill Gajda,,,Seed,
997,,7/8/14,Nutrabolt,MidOcean Partners,,,Unattributed,
998,1692000.0 USD,7/21/17,Alltricks,Partech Ventures,,,Unattributed,
999,1692000.0 USD,7/21/17,Alltricks,Entrepreneur Venture,,,Unattributed,
1000,1692000.0 USD,7/21/17,Alltricks,Financiere De La Gommerie,,,Unattributed,
1001,1692000.0 USD,7/21/17,Alltricks,Sonorfi,,,Unattributed,
1002,1692000.0 USD,7/21/17,Alltricks,123 Investment Managers,,,Unattributed,
1003,265000.0 USD,7/21/17,Alltricks,Partech Ventures,,,Historical,
1004,265000.0 USD,7/21/17,Alltricks,Entrepreneur Venture,,,Historical,
1005,265000.0 USD,7/21/17,Alltricks,Frederic Halley,,,Historical,
1006,265000.0 USD,7/21/17,Alltricks,Fifadev,,,Historical,
1007,265000.0 USD,7/21/17,Alltricks,Financiere De La Gommerie,,,Historical,
1008,265000.0 USD,7/21/17,Alltricks,Atafoto,,,Historical,
1009,265000.0 USD,7/21/17,Alltricks,Sonorfi,,,Historical,
1010,265000.0 USD,7/21/17,Alltricks,123 Investment Managers,,,Historical,
1011,28580000.0 USD,8/25/17,Haier,Innovation Ventures,,,Series B,
1012,28580000.0 USD,8/25/17,Haier,Forebright Capital,,,Series B,
1013,28580000.0 USD,8/25/17,Haier,TF Securities,,,Series B,
1014,28580000.0 USD,8/25/17,Haier,Haichuanghui,,,Series B,
1015,28580000.0 USD,8/25/17,Haier,Hairong High Tech,,,Series B,
1016,364000000.0 USD,12/21/13,Haier,Alibaba,,,Private Equity,
1017,17857142.85714286 USD,4/1/19,ManoMano,General Atlantic,,,Series D,
1018,17857142.85714286 USD,4/1/19,ManoMano,Bpifrance,,,Series D,
1019,17857142.85714286 USD,4/1/19,ManoMano,Partech Ventures,,,Series D,
1020,17857142.85714286 USD,4/1/19,ManoMano,Aglaé Ventures,,,Series D,
1021,17857142.85714286 USD,4/1/19,ManoMano,Eurazeo Growth,,,Series D,
1022,17857142.85714286 USD,4/1/19,ManoMano,CM-CIC,,,Series D,
1023,17857142.85714286 USD,4/1/19,ManoMano,Piton,,,Series D,
1024,12020000.0 USD,9/11/17,ManoMano,General Atlantic,,,Series C,
1025,12020000.0 USD,9/11/17,ManoMano,Bpifrance,,,Series C,
1026,12020000.0 USD,9/11/17,ManoMano,Piton Capital,,,Series C,
1027,12020000.0 USD,9/11/17,ManoMano,Partech Ventures,,,Series C,
1028,12020000.0 USD,9/11/17,ManoMano,Home and DIY,,,Series C,
1029,12020000.0 USD,9/11/17,ManoMano,Ambition Numérique,,,Series C,
1030,3250000.0 USD,4/5/16,ManoMano,CM-CIC Capital Prive,,,Unattributed,
1031,3250000.0 USD,4/5/16,ManoMano,Piton Capital,,,Unattributed,
1032,3250000.0 USD,4/5/16,ManoMano,Partech Ventures,,,Unattributed,
1033,3250000.0 USD,4/5/16,ManoMano,Digital Ambition Fund,,,Unattributed,
1034,3333333.3333333335 USD,7/10/17,Yamibuy,GGV Capital,,,Series A,
1035,3333333.3333333335 USD,7/10/17,Yamibuy,K2VC,,,Series A,
1036,3333333.3333333335 USD,7/10/17,Yamibuy,New Oriental Education & Technology,,,Series A,
1037,640000.0 USD,11/21/14,Kaufmann Mercantile,Dave Morin,,,Series A,
1038,640000.0 USD,11/21/14,Kaufmann Mercantile,Slow Ventures,,,Series A,
1039,640000.0 USD,11/21/14,Kaufmann Mercantile,14W,,,Series A,
1040,640000.0 USD,11/21/14,Kaufmann Mercantile,Justin Shaffer,,,Series A,
1041,640000.0 USD,11/21/14,Kaufmann Mercantile,Local Globe,,,Series A,
1042,30000000.0 USD,1/31/19,BRANDLESS,Redpoint Ventures,,,Series C,
1043,30000000.0 USD,1/31/19,BRANDLESS,New Enterprise Associates,,,Series C,
1044,30000000.0 USD,1/31/19,BRANDLESS,Sherpa Capital,,,Series C,
1045,30000000.0 USD,1/31/19,BRANDLESS,Jeffrey Housenbold,,,Series C,
1046,30000000.0 USD,1/31/19,BRANDLESS,GV,,,Series C,
1047,30000000.0 USD,1/31/19,BRANDLESS,Jon Sakoda,,,Series C,
1048,30000000.0 USD,1/31/19,BRANDLESS,SoftBank Vision Fund,,,Series C,
1049,30000000.0 USD,1/31/19,BRANDLESS,Justin Wilson,,,Series C,
1050,11666666.666666666 USD,7/11/17,BRANDLESS,New Enterprise Associates,,,Series B,
1051,11666666.666666666 USD,7/11/17,BRANDLESS,Cowboy Ventures,,,Series B,
1052,11666666.666666666 USD,7/11/17,BRANDLESS,GV,,,Series B,
1053,,5/3/17,BRANDLESS,Redpoint Ventures,,,Historical,
1054,6250000.0 USD,6/10/14,Stitch Fix,Lightspeed Venture Partners,,,Series C,
1055,6250000.0 USD,6/10/14,Stitch Fix,Benchmark,,,Series C,
1056,6250000.0 USD,6/10/14,Stitch Fix,Western Technology Investment,,,Series C,
1057,6250000.0 USD,6/10/14,Stitch Fix,Baseline Ventures,,,Series C,
1058,12000000.0 USD,10/17/13,Stitch Fix,Benchmark,,,Series B,
1059,1600000.0 USD,2/28/13,Stitch Fix,Lightspeed Venture Partners,,,Series A,
1060,1600000.0 USD,2/28/13,Stitch Fix,Western Technology Investment,,,Series A,
1061,1600000.0 USD,2/28/13,Stitch Fix,Baseline Ventures,,,Series A,
1062,750000.0 USD,1/1/11,Stitch Fix,Baseline Ventures,,,Seed,
1063,,3/13/17,Helloprint,Project A Ventures,,,Unattributed,
1064,,3/13/17,Helloprint,Bregal Investments,,,Unattributed,
1065,3320000.0 USD,7/13/16,Helloprint,Gert Jan Munneke,,,Historical,
1066,7613464.285714285 USD,12/15/17,Simba Sleep,Henderson Global Investors,,,Series B,
1067,7613464.285714285 USD,12/15/17,Simba Sleep,Nigel Wray,,,Series B,
1068,7613464.285714285 USD,12/15/17,Simba Sleep,JXC Ventures,,,Series B,
1069,7613464.285714285 USD,12/15/17,Simba Sleep,Michel de Carvalho,,,Series B,
1070,7613464.285714285 USD,12/15/17,Simba Sleep,Numis Securities,,,Series B,
1071,7613464.285714285 USD,12/15/17,Simba Sleep,Julian Barnett,,,Series B,
1072,7613464.285714285 USD,12/15/17,Simba Sleep,Atami Capital,,,Series B,
1073,2480000.0 USD,7/31/17,Simba Sleep,Henderson Global Investors,,,Unattributed,
1074,2480000.0 USD,7/31/17,Simba Sleep,Nigel Wray,,,Unattributed,
1075,2480000.0 USD,7/31/17,Simba Sleep,Rishi Passi,,,Unattributed,
1076,2480000.0 USD,7/31/17,Simba Sleep,Michel de Carvalho,,,Unattributed,
1077,2480000.0 USD,7/31/17,Simba Sleep,Richard Goldstein,,,Unattributed,
1078,2480000.0 USD,7/31/17,Simba Sleep,Numis Securities,,,Unattributed,
1079,2480000.0 USD,7/31/17,Simba Sleep,Julian Barnett,,,Unattributed,
1080,744666.6666666666 USD,7/31/17,Simba Sleep,JamJar Investments,,,Historical,
1081,744666.6666666666 USD,7/31/17,Simba Sleep,Spark Ventures,,,Historical,
1082,744666.6666666666 USD,7/31/17,Simba Sleep,Henderson Global Investors,,,Historical,
1083,744666.6666666666 USD,7/31/17,Simba Sleep,Tom Teichman,,,Historical,
1084,744666.6666666666 USD,7/31/17,Simba Sleep,Adam Balon,,,Historical,
1085,744666.6666666666 USD,7/31/17,Simba Sleep,Richard Reed,,,Historical,
1086,744666.6666666666 USD,7/31/17,Simba Sleep,Jon Wright,,,Historical,
1087,744666.6666666666 USD,7/31/17,Simba Sleep,Sir John Hegarty,,,Historical,
1088,744666.6666666666 USD,7/31/17,Simba Sleep,JXC Ventures,,,Historical,
1089,744666.6666666666 USD,7/31/17,Simba Sleep,Rishi Passi,,,Historical,
1090,744666.6666666666 USD,7/31/17,Simba Sleep,Michel de Carvalho,,,Historical,
1091,744666.6666666666 USD,7/31/17,Simba Sleep,Richard Goldstein,,,Historical,
1092,744666.6666666666 USD,7/31/17,Simba Sleep,Numis Securities,,,Historical,
1093,744666.6666666666 USD,7/31/17,Simba Sleep,The Garage Soho,,,Historical,
1094,744666.6666666666 USD,7/31/17,Simba Sleep,Julian Barnett,,,Historical,
1095,1750000.0 USD,7/15/19,Bulletin,Foundation Capital,,,Series A,
1096,1750000.0 USD,7/15/19,Bulletin,Afore Capital,,,Series A,
1097,1750000.0 USD,7/15/19,Bulletin,Trail Mix Ventures,,,Series A,
1098,1750000.0 USD,7/15/19,Bulletin,Kleiner Perkins,,,Series A,
1099,314285.71428571426 USD,5/24/17,Bulletin,Kleiner Perkins Caufield & Byers,,,Seed,
1100,314285.71428571426 USD,5/24/17,Bulletin,Y Combinator,,,Seed,
1101,314285.71428571426 USD,5/24/17,Bulletin,Flybridge Capital Partners,,,Seed,
1102,314285.71428571426 USD,5/24/17,Bulletin,Tim Draper,,,Seed,
1103,314285.71428571426 USD,5/24/17,Bulletin,Kevin Hale,,,Seed,
1104,314285.71428571426 USD,5/24/17,Bulletin,Liquid2 Ventures,,,Seed,
1105,314285.71428571426 USD,5/24/17,Bulletin,Afore Capital,,,Seed,
1106,3045000.0 USD,1/16/17,My 1st Years,Beringea,,,Unattributed,
1107,3045000.0 USD,1/16/17,My 1st Years,Hargreave Hale,,,Unattributed,
1108,36000000.0 USD,5/31/18,ecobee,Amazon Alexa Fund,,,Series C,
1109,7625000.0 USD,3/7/18,ecobee,Thomvest Ventures,,,Series C,
1110,7625000.0 USD,3/7/18,ecobee,Relay Ventures,,,Series C,
1111,7625000.0 USD,3/7/18,ecobee,Northleaf Capital Partners,,,Series C,
1112,7625000.0 USD,3/7/18,ecobee,Export Development Canada,,,Series C,
1113,7625000.0 USD,3/7/18,ecobee,The Ontario Capital Growth,,,Series C,
1114,7625000.0 USD,3/7/18,ecobee,Amazon Alexa Fund,,,Series C,
1115,7625000.0 USD,3/7/18,ecobee,Energy Impact Partners,,,Series C,
1116,7625000.0 USD,3/7/18,ecobee,GXP Investments,,,Series C,
1117,3220000.0 USD,8/1/12,ecobee,Relay Ventures,,,Historical,
1118,3220000.0 USD,8/1/12,ecobee,Tech Capital Partners,,,Historical,
1119,3220000.0 USD,8/1/12,ecobee,The Ontario Capital Growth,,,Historical,
1120,3220000.0 USD,8/1/12,ecobee,Investeco Capital,,,Historical,
1121,3220000.0 USD,8/1/12,ecobee,Just Energy,,,Historical,
1122,40000.0 USD,11/25/13,Bureo,Start-Up Chile,,,Seed,
1123,6500000.0 USD,11/30/12,Tricae,Rocket Internet,,,Unattributed,
1124,5000000.0 USD,3/1/09,New Leaf Paper,Pacific Community Ventures,,,Unattributed,
1125,,10/1/15,Dispatchr,Floodgate Fund,,,Seed,
1126,,11/2/14,Dispatchr,Mike Maples,,,Historical,
1127,,11/2/14,Dispatchr,Floodgate,,,Historical,
1128,,11/2/14,Dispatchr,Backed VC,,,Historical,
1129,4285714.285714285 USD,6/28/18,Parachute Home,Daher Capital,,,Series C,
1130,4285714.285714285 USD,6/28/18,Parachute Home,Upfront Ventures,,,Series C,
1131,4285714.285714285 USD,6/28/18,Parachute Home,Susa Ventures,,,Series C,
1132,4285714.285714285 USD,6/28/18,Parachute Home,Jaws Ventures,,,Series C,
1133,4285714.285714285 USD,6/28/18,Parachute Home,Grace Beauty Capital,,,Series C,
1134,4285714.285714285 USD,6/28/18,Parachute Home,H.I.G. Growth Partners,,,Series C,
1135,4285714.285714285 USD,6/28/18,Parachute Home,Suffolk Equity,,,Series C,
1136,,12/1/16,Parachute Home,Grace Beauty Capital,,,Series A,
1137,625000.0 USD,6/3/15,Parachute Home,Daher Capital,,,Unattributed,
1138,625000.0 USD,6/3/15,Parachute Home,Upfront Ventures,,,Unattributed,
1139,625000.0 USD,6/3/15,Parachute Home,Joanne Wilson,,,Unattributed,
1140,625000.0 USD,6/3/15,Parachute Home,QueensBridge Venture Partners,,,Unattributed,
1141,625000.0 USD,6/3/15,Parachute Home,Susa Ventures,,,Unattributed,
1142,625000.0 USD,6/3/15,Parachute Home,Mesa Ventures,,,Unattributed,
1143,6666666.666666667 USD,12/6/17,Greenlight Planet,Deutsche Bank,,,Unattributed,
1144,6666666.666666667 USD,12/6/17,Greenlight Planet,Eight Roads Ventures,,,Unattributed,
1145,6666666.666666667 USD,12/6/17,Greenlight Planet,SunFunder,,,Unattributed,
1146,6666666.666666667 USD,12/6/17,Greenlight Planet,Global Partnerships/Eleos Social Venture Fund,,,Unattributed,
1147,6666666.666666667 USD,12/6/17,Greenlight Planet,Bamboo Capital Partners,,,Unattributed,
1148,6666666.666666667 USD,12/6/17,Greenlight Planet,PG Impact Investments,,,Unattributed,
1149,6666666.666666667 USD,12/6/17,Greenlight Planet,SIMA Funds,,,Unattributed,
1150,6666666.666666667 USD,12/6/17,Greenlight Planet,responsAbility,,,Unattributed,
1151,6666666.666666667 USD,12/6/17,Greenlight Planet,Apis Partners,,,Unattributed,
1152,6333333.333333333 USD,2/23/16,Greenlight Planet,Bamboo Finance,,,Historical,
1153,6333333.333333333 USD,2/23/16,Greenlight Planet,Eight Roads Ventures,,,Historical,
1154,6333333.333333333 USD,2/23/16,Greenlight Planet,OPIC - Overseas Private Investment Corporation,,,Historical,
1155,35000000.0 USD,1/24/19,Memebox,Johnson & Johnson Innovation – JJDC,,,Series D,
1156,6666666.666666667 USD,12/15/16,Memebox,Mousse Partners,,,Series C,
1157,6666666.666666667 USD,12/15/16,Memebox,FundersClub,,,Series C,
1158,6666666.666666667 USD,12/15/16,Memebox,Cowboy Ventures,,,Series C,
1159,6666666.666666667 USD,12/15/16,Memebox,Altos Ventures,,,Series C,
1160,6666666.666666667 USD,12/15/16,Memebox,Janet Gurwitch,,,Series C,
1161,6666666.666666667 USD,12/15/16,Memebox,Goodwater Capital,,,Series C,
1162,6666666.666666667 USD,12/15/16,Memebox,Cota Capital,,,Series C,
1163,6666666.666666667 USD,12/15/16,Memebox,Formation Group,,,Series C,
1164,6666666.666666667 USD,12/15/16,Memebox,Pear Ventures,,,Series C,
1165,21983333.333333332 USD,8/9/16,Memebox,Goodwater Capital,,,Series C,
1166,21983333.333333332 USD,8/9/16,Memebox,Formation Group,,,Series C,
1167,21983333.333333332 USD,8/9/16,Memebox,Pear Ventures,,,Series C,
1168,1093750.0 USD,1/30/15,Memebox,Y Combinator,,,Series B,
1169,1093750.0 USD,1/30/15,Memebox,Bobby Yazdani,,,Series B,
1170,1093750.0 USD,1/30/15,Memebox,Tekton Ventures,,,Series B,
1171,1093750.0 USD,1/30/15,Memebox,Fenox Venture Capital,,,Series B,
1172,1093750.0 USD,1/30/15,Memebox,Winklevoss Capital,,,Series B,
1173,1093750.0 USD,1/30/15,Memebox,FundersClub,,,Series B,
1174,1093750.0 USD,1/30/15,Memebox,Cowboy Ventures,,,Series B,
1175,1093750.0 USD,1/30/15,Memebox,Altos Ventures,,,Series B,
1176,1093750.0 USD,1/30/15,Memebox,Formation 8,,,Series B,
1177,1093750.0 USD,1/30/15,Memebox,AME Cloud Ventures,,,Series B,
1178,1093750.0 USD,1/30/15,Memebox,Boon Hwee Koh,,,Series B,
1179,1093750.0 USD,1/30/15,Memebox,Goodwater Capital,,,Series B,
1180,1093750.0 USD,1/30/15,Memebox,Noosheen Hashemi,,,Series B,
1181,1093750.0 USD,1/30/15,Memebox,Amasia,,,Series B,
1182,1093750.0 USD,1/30/15,Memebox,HKB Capital,,,Series B,
1183,1093750.0 USD,1/30/15,Memebox,Pear Ventures,,,Series B,
1184,851428.5714285715 USD,4/14/14,Memebox,Y Combinator,,,Series A,
1185,851428.5714285715 USD,4/14/14,Memebox,Tekton Ventures,,,Series A,
1186,851428.5714285715 USD,4/14/14,Memebox,Fenox Venture Capital,,,Series A,
1187,851428.5714285715 USD,4/14/14,Memebox,Winklevoss Capital,,,Series A,
1188,851428.5714285715 USD,4/14/14,Memebox,FundersClub,,,Series A,
1189,851428.5714285715 USD,4/14/14,Memebox,Cowboy Ventures,,,Series A,
1190,851428.5714285715 USD,4/14/14,Memebox,Altos Ventures,,,Series A,
1191,851428.5714285715 USD,4/14/14,Memebox,Formation 8,,,Series A,
1192,851428.5714285715 USD,4/14/14,Memebox,Signatures Capital,,,Series A,
1193,851428.5714285715 USD,4/14/14,Memebox,Goodwater Capital,,,Series A,
1194,851428.5714285715 USD,4/14/14,Memebox,Accelerate Fund,,,Series A,
1195,851428.5714285715 USD,4/14/14,Memebox,Suleman Ali,,,Series A,
1196,851428.5714285715 USD,4/14/14,Memebox,Paul Pressler,,,Series A,
1197,851428.5714285715 USD,4/14/14,Memebox,Pear Ventures,,,Series A,
1198,4166666.6666666665 USD,2/5/19,Ritual,Founders Fund,,,Series B,
1199,4166666.6666666665 USD,2/5/19,Ritual,Forerunner Ventures,,,Series B,
1200,4166666.6666666665 USD,2/5/19,Ritual,Kirsten Green,,,Series B,
1201,4166666.6666666665 USD,2/5/19,Ritual,Brian Singerman,,,Series B,
1202,4166666.6666666665 USD,2/5/19,Ritual,Norwest Venture Partners,,,Series B,
1203,4166666.6666666665 USD,2/5/19,Ritual,Lisa Wu,,,Series B,
1204,17500000.0 USD,6/6/18,Ritual,Greylock Partners,,,Unattributed,
1205,17500000.0 USD,6/6/18,Ritual,Georgian Partners,,,Unattributed,
1206,17500000.0 USD,6/6/18,Ritual,Mistral Venture Partners,,,Unattributed,
1207,17500000.0 USD,6/6/18,Ritual,Insight Ventures,,,Unattributed,
1208,2625000.0 USD,8/1/17,Ritual,Founders Fund,,,Series A,
1209,2625000.0 USD,8/1/17,Ritual,Norwest Venture Partners - NVP,,,Series A,
1210,2625000.0 USD,8/1/17,Ritual,Upfront Ventures,,,Series A,
1211,2625000.0 USD,8/1/17,Ritual,Forerunner Ventures,,,Series A,
1212,,10/30/16,Ritual,Upfront Ventures,,,Historical,
1213,,10/30/16,Ritual,Troy Carter,,,Historical,
1214,,10/30/16,Ritual,FF Angel LLC,,,Historical,
1215,,10/30/16,Ritual,David Golden,,,Historical,
1216,,10/30/16,Ritual,Alex Bard,,,Historical,
1217,,10/30/16,Ritual,Ophir Tanz,,,Historical,
1218,,10/30/16,Ritual,Rivet Ventures,,,Historical,
1219,,10/30/16,Ritual,Miki Agrawal,,,Historical,
1220,,10/30/16,Ritual,Jay Faires,,,Historical,
1221,1000000.0 USD,10/19/16,Ritual,Norwest Venture Partners - NVP,,,Seed,
1222,1000000.0 USD,10/19/16,Ritual,Upfront Ventures,,,Seed,
1223,1000000.0 USD,10/19/16,Ritual,Forerunner Ventures,,,Seed,
1224,1000000.0 USD,10/19/16,Ritual,Rivet Ventures,,,Seed,
1225,1000000.0 USD,10/19/16,Ritual,NEA,,,Seed,
1226,5000000.0 USD,10/21/10,RPI (Reischling Press),Riverlake Partners,,,Series B,
1227,5000000.0 USD,7/22/10,RPI (Reischling Press),HCAP Partners,,,Series A,
1228,,4/24/18,Grohe,TPG Capital,,,Historical,
1229,600000.0 USD,3/18/17,RageOn,Alchemist Accelerator,,,Seed,
1230,600000.0 USD,3/18/17,RageOn,I2BF Global Ventures,,,Seed,
1231,600000.0 USD,3/18/17,RageOn,Rocketship.vc,,,Seed,
1232,600000.0 USD,3/18/17,RageOn,Steelhouse Ventures,,,Seed,
1233,600000.0 USD,3/18/17,RageOn,Crowdfunder,,,Seed,
1234,10000.0 USD,3/22/17,Brooklinen,FirstMark Capital,,,Historical,
1235,10000.0 USD,3/22/17,Brooklinen,Dorm Room Fund,,,Historical,
1236,55000000.0 USD,2/29/16,Souq.com,Tiger Global Management,,,Unattributed,
1237,55000000.0 USD,2/29/16,Souq.com,International Finance Corporation,,,Unattributed,
1238,55000000.0 USD,2/29/16,Souq.com,Baillie Gifford,,,Unattributed,
1239,55000000.0 USD,2/29/16,Souq.com,Naspers,,,Unattributed,
1240,55000000.0 USD,2/29/16,Souq.com,Standard Chartered Private Equity,,,Unattributed,
1241,75000000.0 USD,3/21/14,Souq.com,Naspers,,,Unattributed,
1242,20000000.0 USD,10/29/12,Souq.com,Tiger Global Management,,,Unattributed,
1243,20000000.0 USD,10/29/12,Souq.com,Naspers,,,Unattributed,
1244,100000000.0 USD,8/26/19,Boll & Branch,Buyout Fund,,,Unattributed,
1245,4500000.0 USD,10/3/17,Boll & Branch,Silas Capital,,,Series B,
1246,7000000.0 USD,4/29/16,Boll & Branch,Silas Capital,,,Series A,
1247,7500000.0 USD,3/1/10,BabyEarth,Brook Venture Partners,,,Private Equity,
1248,7500000.0 USD,3/1/10,BabyEarth,Alumni Capital Network,,,Private Equity,
1249,3500000.0 USD,6/30/07,BabyEarth,Brook Venture Partners,,,Series A,
1250,98350.0 USD,2/7/12,WakaWaka,Symbid,,,Unattributed,
1251,5000000.0 USD,5/6/19,Chumbak,Gaja Capital,,,Series D,
